Ab morgen muss ich arbeiten.;Od jutra muszę pracować.
Ich bin oft im Büro, aber nur für wenige Stunden.;Często jestem w biurze, ale tylko na kilka godzin.
Wir fahren um zwölf Uhr ab.;Wyjeżdżamy o dwunastej.
Vor der Abfahrt rufe ich an.;Przed wyjazdem zadzwonię.
Ich muss meine Schlüssel abgeben.;Muszę oddać swoje klucze.
Wann kann ich den Schrank bei dir abholen? Wir müssen noch meinen Bruder abholen.;Kiedy mogę odebrać u ciebie szafę? Musimy jeszcze odebrać mojego brata.
Da ist ein Brief für dich ohne Absender.;Jest list dla ciebie bez nadawcy.
Achtung! Das dürfen Sie nicht tun.;Uwaga! Nie wolno tego robić.
Können Sie mir seine Adresse sagen?;Czy może mi Pan podać jego adres?
Alles Gute!;Wszystkiego najlepszego!
Das ist alles.;To wszystko.
Sind alle da?;Czy wszyscy są?
Alle Freunde kommen.;Wszyscy przyjaciele przychodzą.
Hast du alles?;Czy masz wszystko?
Er kommt allein.;On przychodzi sam.
Also, es ist so: ...;Więc, tak jest: ...
Er hat Zeit, also muss er uns helfen.;On ma czas, więc musi nam pomóc.
Wie alt sind Sie?;Ile ma Pan/Pani lat?
Sie sehen aber nicht so alt aus.;Ale Pan/Pani nie wygląda na tyle lat.
Mein Auto ist schon sehr alt.;Mój samochód jest już bardzo stary.
Wir wohnen in einem sehr alten Haus.;Mieszkamy w bardzo starym domu.
Köln ist eine alte Stadt.;Kolonia to stary miasto.
Alter: 26 Jahre.;Wiek: 26 lat.
Fahren Sie an der nächsten Straße nach rechts.;Skręć w prawo na następnej ulicy.
Wir treffen uns am Bahnhof.;Spotykamy się na dworcu.
Am nächsten Montag geht es leider nicht.;W najbliższy poniedziałek niestety nie może być.
Was darf ich dir anbieten?;Co mogę ci zaoferować?
Heute sind Sportschuhe im Angebot.;Dzisiaj buty sportowe są w ofercie.
WiIlst du diese Jacke?;Chcesz tę kurtkę?
Nein, ich möchte die andere.;Nie, chcę inną.
Hier fängt die Bahnhofstraße an.;Tutaj zaczyna się ulica dworcowa.
Der Unterricht fängt gleich an.;Lekcja zaraz się zaczyna.
Sie wohnt am Anfang der Straße.;Mieszka na początku ulicy.
Wir machen Anfang Juli Urlaub.;Robimy wakacje na początku lipca.
Da musst du dieses Wort anklicken.;Musisz kliknąć to słowo.
Wann kommt dieser Zug in Hamburg an?;Kiedy ten pociąg przyjeżdża do Hamburga?
Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.;Na tej mapie jest tylko czas przyjazdu pociągów.
Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.;Na formularzu musisz zaznaczyć kilka miejsc.
Mach bitte das Licht an!;Proszę, włącz światło!
Wo kann ich mich anmelden?;Gdzie mogę się zapisać?
Eine Anmeldung für diesen Kurs ist nicht mehr möglich.;Zapisy na ten kurs już nie są możliwe.
Schreiben Sie auch eine Anrede und einen Gruß.;Napisz także powitanie i pozdrowienie.
Kann man Sie anrufen?;Czy można do Pana/Pani zadzwonić?
Peter ruft kurz seine Freundin an.;Peter krótko dzwoni do swojej dziewczyny.
Sie bekommt viele Anrufe auf ihrem Handy.;Ona dostaje wiele telefonów na swoim telefonie komórkowym.
Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.;W tej chwili nas nie ma. Proszę zostawić wiadomość na automatycznej sekretarce.