Deutschland;Niemcy
der/die Deutsche;Niemiec/Niemka
ein Deutscher;Jeden Niemiec
eine Deutsche;Jedna Niemka
Deutsche;Niemcy
deutsch;niemiecki
Europa;Europa
Europäer;Europejczyk
europäisch;europejski
Länder;Kraje
Ländernamen;Nazwy krajów
Nationalitäten;Narodowości
Angabe der eigenen Herkunft oder Nationalität;Podawanie własnego pochodzenia lub narodowości
Land;Kraj
Bewohner;Mieszkaniec
Nationalität;Narodowość
Türkei;Turcja
Türke;Turek
Türkin;Turczynka
türkisch;turecki
Finnland;Finlandia
Finne;Fin
Finnin;Finka
finnisch;fiński
Mexiko;Meksyk
Mexikaner;Meksykanin
Mexikanerin;Meksykanka
mexikanisch;meksykański